财务报表1.0
利润表1.0
资产负债1.0
现金流量1.0
市盈率1.0
市值1.0
股东权益1.0
ROE1.0
ROA1.0
营业收入1.0
净利润1.0
毛利率1.0
负债率1.0
估值0.9
业绩预期0.9
投资者0.9
股东大会0.9
融资0.9
IPO0.9
并购重组0.9
股权激励0.9
分红派息0.9
